sku,brand,model,color,size,shopee,Tiktok 1,Tiktok 2,Lazada 1,Lazada 2,,หมายเหตุ,
Adda.41C23 โพนี่มีไฟ.ดำ.25,Adda,41C23 โพนี่มีไฟ,ดำ,25,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.26,Adda,41C23 โพนี่มีไฟ,ดำ,26,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.27,Adda,41C23 โพนี่มีไฟ,ดำ,27,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.28,Adda,41C23 โพนี่มีไฟ,ดำ,28,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.29,Adda,41C23 โพนี่มีไฟ,ดำ,29,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.30,Adda,41C23 โพนี่มีไฟ,ดำ,30,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.31,Adda,41C23 โพนี่มีไฟ,ดำ,31,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.32,Adda,41C23 โพนี่มีไฟ,ดำ,32,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.33,Adda,41C23 โพนี่มีไฟ,ดำ,33,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.34,Adda,41C23 โพนี่มีไฟ,ดำ,34,,,,,,,,
Adda.41C23 โพนี่มีไฟ.ดำ.35,Adda,41C23 โพนี่มีไฟ,ดำ,35,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.25,Adda,41C25 ชินนาม่อน,ดำ,25,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.26,Adda,41C25 ชินนาม่อน,ดำ,26,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.27,Adda,41C25 ชินนาม่อน,ดำ,27,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.28,Adda,41C25 ชินนาม่อน,ดำ,28,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.29,Adda,41C25 ชินนาม่อน,ดำ,29,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.30,Adda,41C25 ชินนาม่อน,ดำ,30,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.31,Adda,41C25 ชินนาม่อน,ดำ,31,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.32,Adda,41C25 ชินนาม่อน,ดำ,32,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.33,Adda,41C25 ชินนาม่อน,ดำ,33,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.34,Adda,41C25 ชินนาม่อน,ดำ,34,,,,,,,,
Adda.41C25 ชินนาม่อน.ดำ.35,Adda,41C25 ชินนาม่อน,ดำ,35,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.25,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,25,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.26,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,26,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.27,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,27,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.28,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,28,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.29,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,29,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.30,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,30,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.31,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,31,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.32,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,32,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.33,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,33,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.34,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,34,,,,,,,,
Adda.41G1A พาวเวอร์พัฟเกิร์ล.ขาว.35,Adda,41G1A พาวเวอร์พัฟเกิร์ล,ขาว,35,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.25,Adda,41G2A ไลน์เฟรนด์,ขาว,25,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.26,Adda,41G2A ไลน์เฟรนด์,ขาว,26,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.27,Adda,41G2A ไลน์เฟรนด์,ขาว,27,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.28,Adda,41G2A ไลน์เฟรนด์,ขาว,28,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.29,Adda,41G2A ไลน์เฟรนด์,ขาว,29,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.30,Adda,41G2A ไลน์เฟรนด์,ขาว,30,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.31,Adda,41G2A ไลน์เฟรนด์,ขาว,31,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.32,Adda,41G2A ไลน์เฟรนด์,ขาว,32,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.33,Adda,41G2A ไลน์เฟรนด์,ขาว,33,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.34,Adda,41G2A ไลน์เฟรนด์,ขาว,34,,,,,,,,
Adda.41G2A ไลน์เฟรนด์.ขาว.35,Adda,41G2A ไลน์เฟรนด์,ขาว,35,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.25,Adda,41G3A โพนี่มีไฟ,ขาว,25,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.26,Adda,41G3A โพนี่มีไฟ,ขาว,26,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.27,Adda,41G3A โพนี่มีไฟ,ขาว,27,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.28,Adda,41G3A โพนี่มีไฟ,ขาว,28,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.29,Adda,41G3A โพนี่มีไฟ,ขาว,29,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.30,Adda,41G3A โพนี่มีไฟ,ขาว,30,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.31,Adda,41G3A โพนี่มีไฟ,ขาว,31,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.32,Adda,41G3A โพนี่มีไฟ,ขาว,32,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.33,Adda,41G3A โพนี่มีไฟ,ขาว,33,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.34,Adda,41G3A โพนี่มีไฟ,ขาว,34,,,,,,,,
Adda.41G3A โพนี่มีไฟ.ขาว.35,Adda,41G3A โพนี่มีไฟ,ขาว,35,,,,,,,,
Adda.41G5A พละชาย.ขาว.25,Adda,41G5A พละชาย,ขาว,25,,,,,,,,
Adda.41G5A พละชาย.ขาว.26,Adda,41G5A พละชาย,ขาว,26,,,,,,,,
Adda.41G5A พละชาย.ขาว.27,Adda,41G5A พละชาย,ขาว,27,,,,,,,,
Adda.41G5A พละชาย.ขาว.28,Adda,41G5A พละชาย,ขาว,28,,,,,,,,
Adda.41G5A พละชาย.ขาว.29,Adda,41G5A พละชาย,ขาว,29,,,,,,,,
Adda.41G5A พละชาย.ขาว.30,Adda,41G5A พละชาย,ขาว,30,,,,,,,,
Adda.41G5A พละชาย.ขาว.31,Adda,41G5A พละชาย,ขาว,31,,,,,,,,
Adda.41G5A พละชาย.ขาว.32,Adda,41G5A พละชาย,ขาว,32,,,,,,,,
Adda.41G5A พละชาย.ขาว.33,Adda,41G5A พละชาย,ขาว,33,,,,,,,,
Adda.41G5A พละชาย.ขาว.34,Adda,41G5A พละชาย,ขาว,34,,,,,,,,
Adda.41G5A พละชาย.ขาว.35,Adda,41G5A พละชาย,ขาว,35,,,,,,,,
Adda.41G5A พละหญิง.ขาว.25,Adda,41G5A พละหญิง,ขาว,25,,,,,,,,
Adda.41G5A พละหญิง.ขาว.26,Adda,41G5A พละหญิง,ขาว,26,,,,,,,,
Adda.41G5A พละหญิง.ขาว.27,Adda,41G5A พละหญิง,ขาว,27,,,,,,,,
Adda.41G5A พละหญิง.ขาว.28,Adda,41G5A พละหญิง,ขาว,28,,,,,,,,
Adda.41G5A พละหญิง.ขาว.29,Adda,41G5A พละหญิง,ขาว,29,,,,,,,,
Adda.41G5A พละหญิง.ขาว.30,Adda,41G5A พละหญิง,ขาว,30,,,,,,,,
